emotion,layer,overlap_cosine,parallel_fraction,full_sycophancy,orthogonal_sycophancy,full_emotion,orthogonal_emotion,sycophancy_reduction,emotion_preservation
empathetic,22,0.10665563,0.011375413,0.514964896440506,0.07282834835350513,4.096210551261902,4.062383615970612,0.44213654808700087,0.9917418953767234
empathetic,23,0.10665563,0.011375413,0.47806884348392487,0.04487897767685354,3.938091218471527,3.907370221614838,0.4331898658070713,0.9921990133919212
empathetic,24,0.10665563,0.011375413,0.4714923456311226,0.041846659407019614,3.8231173038482664,3.7957721829414366,0.429645686224103,0.9928474282284498
empathetic,25,0.10665563,0.011375413,0.49854063242673874,0.0631151213310659,3.724623906612396,3.6899237275123595,0.43542551109567285,0.990683575048092
empathetic,26,0.10665563,0.011375413,0.48178850263357165,0.05097330682910979,3.6502959370613097,3.6156972885131835,0.43081519580446187,0.9905216866948108
empathetic,27,0.10665563,0.011375413,0.4839147537946701,0.056773257744498554,3.566237437725067,3.5304623365402223,0.42714149605017154,0.9899683905489854
empathetic,28,0.10665563,0.011375413,0.45410879105329516,0.028435916313901542,3.4982045173645018,3.466027629375458,0.42567287473939364,0.9908018848442613
empathetic,29,0.10665563,0.011375413,0.4507822901010513,0.027791912551037967,3.4407597303390505,3.408661901950836,0.42299037755001334,0.9906712961950844
empathetic,30,0.10665563,0.011375413,0.4308883011341095,-0.0032112037879414856,3.441957211494446,3.406871199607849,0.427677097346168,0.9898063776709871
empathetic,31,0.10665563,0.011375413,0.38709833174943925,-0.04459629696793854,3.4048256635665894,3.373497951030731,0.3425020347815007,0.9907990259615694
empathetic,32,0.10665563,0.011375413,0.38230656608939173,-0.062299983017146586,3.4468220472335815,3.413995397090912,0.32000658307224517,0.9904762561882137
empathetic,33,0.10665563,0.011375413,0.4430020831525326,-0.015085701644420624,3.4248859167098997,3.3907513856887816,0.42791638150811195,0.9900333815924856
empathetic,34,0.10665563,0.011375413,0.44376637861132623,-0.02164399968460202,3.4326762795448302,3.402218520641327,0.4221223789267242,0.9911271100380191
empathetic,35,0.10665563,0.011375413,0.424639130756259,-0.05997812924906611,3.35513414144516,3.3177699208259583,0.3646610015071929,0.9888635687743
empathetic,36,0.10665563,0.011375413,0.3469567598775029,-0.1456634876318276,3.37864351272583,3.341103172302246,0.2012932722456753,0.9888889312287057
empathetic,37,0.10665563,0.011375413,0.3398538025096059,-0.2255451139062643,3.4686501145362856,3.4217395544052125,0.11430868860334159,0.9864758454781928
empathetic,38,0.10665563,0.011375413,0.3768711656332016,-0.19490708094090223,3.2138289332389833,3.159419286251068,0.18196408469229938,0.9830701483749853
empathetic,39,0.10665563,0.011375413,4.189107036590576,-0.4659521088004112,28.627002811431886,28.346678161621092,3.7231549277901648,0.9902076842742737
exuberant,22,0.12215417,0.014921632,0.306836773455143,-0.05606745202094317,2.8598639965057373,2.835934269428253,0.25076932143419983,0.9916325646580668
exuberant,23,0.12215417,0.014921632,0.30393115282058714,-0.05056899096816778,2.719065761566162,2.697485888004303,0.25336216185241933,0.9920634970044162
exuberant,24,0.12215417,0.014921632,0.3041168123483658,-0.0457918462343514,2.62007999420166,2.598003315925598,0.2583249661140144,0.9915740441799797
exuberant,25,0.12215417,0.014921632,0.27732579633593557,-0.07779312934726476,2.554918575286865,2.5352604031562804,0.1995326669886708,0.9923057539599369
exuberant,26,0.12215417,0.014921632,0.27520513013005254,-0.07525593619793654,2.496092689037323,2.477823865413666,0.19994919393211602,0.9926810315562828
exuberant,27,0.12215417,0.014921632,0.27588769644498823,-0.07116511967033148,2.4372286200523376,2.419757807254791,0.20472257677465674,0.9928316889709052
exuberant,28,0.12215417,0.014921632,0.26401708126068113,-0.08183766845613719,2.4003212690353393,2.387288439273834,0.18217941280454394,0.994570381086219
exuberant,29,0.12215417,0.014921632,0.26392159834504125,-0.0790713695809245,2.342679035663605,2.3301280975341796,0.18485022876411675,0.9946424849762358
exuberant,30,0.12215417,0.014921632,0.26727028116583823,-0.08512501548975707,2.3342928647994996,2.3216296195983888,0.18214526567608116,0.9945751257727472
exuberant,31,0.12215417,0.014921632,0.26096052676439285,-0.08987636347301305,2.3140445947647095,2.2990757703781126,0.17108416329137982,0.9935313155068566
exuberant,32,0.12215417,0.014921632,0.3012032598257065,-0.06337045780383051,2.3361188530921937,2.3191414952278135,0.237832802021876,0.9927326651887133
exuberant,33,0.12215417,0.014921632,0.3214543841779232,-0.056357105076313016,2.3523295879364015,2.336284136772156,0.2650972791016102,0.9931789102825843
exuberant,34,0.12215417,0.014921632,0.3770972415804863,-0.004330210341140628,2.452426755428314,2.4344467639923097,0.3727670312393457,0.992668489937077
exuberant,35,0.12215417,0.014921632,0.3993623375892639,-0.000252488162368536,2.4344310760498047,2.4084391474723814,0.39910984942689537,0.9893232021094642
exuberant,36,0.12215417,0.014921632,0.4159806236624718,0.010114589566364884,2.4030723690986635,2.3832085132598877,0.4058660340961069,0.9917339751835164
exuberant,37,0.12215417,0.014921632,0.5015479788184166,0.03659713128581643,2.456653094291687,2.4307900071144104,0.4649508475326002,0.9894722265681823
exuberant,38,0.12215417,0.014921632,0.4830816641449928,0.012512638326734304,2.375180220603943,2.3410873889923094,0.4705690258182585,0.9856462127311902
exuberant,39,0.12215417,0.014921632,4.91775643825531,0.9505304858088494,17.664705419540404,17.3744366645813,3.967225952446461,0.9835678689191152
invigorated,22,0.08887916,0.007899499,0.23874323293566704,-0.04372412133961916,3.021302032470703,3.0086379170417787,0.1950191115960479,0.9958083914508316
